,sample,ratio,anneal,tbp_frac,Quality,state,image,group,ratio_step
0,0,0.0,0,0.0,0.18469525459121264,after,full,0,0.0
4,1,0.0,100,0.0,0.20673286156860465,after,full,0,0.0
8,2,0.0,200,0.0,0.16315189618161755,after,full,0,0.0
12,3,0.1902606213770432,50,0.0,0.4877435258569439,after,full,0,0.2
16,4,0.1879152704891022,150,0.0,0.8878998887806159,after,full,0,0.2
20,5,0.18258988485808048,250,0.0,0.9425898726381684,after,full,0,0.2
24,6,0.3889477112187305,0,0.0,0.5598362623764526,after,full,0,0.4
28,7,0.3697038832596757,100,0.0,0.901409789474438,after,full,0,0.4
32,8,0.39137391549337097,200,0.0,0.9864551970816176,after,full,0,0.4
36,9,0.5976169881721527,50,0.0,0.5144856835654734,after,full,0,0.6000000000000001
40,10,0.5990880807854336,150,0.0,0.9506358552886092,after,full,0,0.6000000000000001
44,11,0.5897685864815799,250,0.0,0.9469087662418252,after,full,0,0.6000000000000001
48,12,0.8532503378645503,0,0.0,0.2419114323262045,after,full,0,0.8
52,13,0.7906658003753323,100,0.0,0.4709202112964071,after,full,0,0.8
56,14,0.7615912399581933,200,0.0,0.8489191047847271,after,full,0,0.8
60,15,1.060508051983374,50,0.0,0.12767904642058295,after,full,0,1.0
64,16,1.034510688986371,150,0.0,0.16833476892814206,after,full,0,1.0
68,17,1.06418971583379,250,0.0,0.7373315573508001,after,full,0,1.0
72,18,0.0,0,0.2707581227436832,0.2344953359747508,after,full,1,0.0
76,19,0.0,100,0.26165413533834603,0.3185541161586551,after,full,1,0.0
80,20,0.0,200,0.2734375000000009,0.23301979005539225,after,full,1,0.0
84,21,0.18312447099986792,50,0.2756443976854285,0.3681424633174649,after,full,1,0.2
88,22,0.18045226841875744,150,0.27168234064785546,0.5379007908049971,after,full,1,0.2
92,23,0.18516024152345614,250,0.2772680937818546,0.7107706806754045,after,full,1,0.2
96,24,0.3986397578947496,0,0.27455121436114,0.4178117777463857,after,full,1,0.4
100,25,0.39828003858658895,100,0.2722540343571053,0.3055162108680436,after,full,1,0.4
104,26,0.3887978103780873,200,0.2761904761904762,0.7736395276151597,after,full,1,0.4
108,27,0.5787761619793039,50,0.2743037309511304,0.3157797433466286,after,full,1,0.6000000000000001
112,28,0.6373827097507023,150,0.2840722495894907,0.6886964721817767,after,full,1,0.6000000000000001
116,29,0.58836327707985,250,0.2782426778242676,0.7172940801778485,after,full,1,0.6000000000000001
120,30,0.8069395035035302,0,0.2806176783812557,0.4816908523916145,after,full,1,0.8
124,31,0.808161862370473,100,0.2805263157894738,0.4568138565632778,after,full,1,0.8
128,32,0.8694422159354838,200,0.2704626334519564,0.4912076112814248,after,full,1,0.8
132,33,1.0228970457933624,50,0.2810005321979768,0.2274073075918157,after,full,1,1.0
136,34,1.035245632212652,150,0.2766736401673652,0.26131429853747884,after,full,1,1.0
140,35,1.0298689053249193,250,0.27903225806451704,0.3048276574067447,after,full,1,1.0
144,36,0.0,0,0.0760493827160477,0.28537999024189525,after,full,2,0.0
148,37,0.0,100,0.08110781404549919,0.2952662739623085,after,full,2,0.0
152,38,0.0,200,0.07731177362304137,0.3956121033179048,after,full,2,0.0
156,39,0.19290854370394533,50,0.07489669421487599,0.8754690691180851,after,full,2,0.2
160,40,0.18336379599778688,150,0.07568113017154453,0.9746419473186784,after,full,2,0.2
164,41,0.18898641036027072,250,0.08075165058405208,0.9462385158176008,after,full,2,0.2
168,42,0.3853423015832031,0,0.07950907150480217,0.16830792217312948,after,full,2,0.4
172,43,0.39426449504914973,100,0.08105369807497473,0.5110117893301599,after,full,2,0.4
176,44,0.39069453127014336,200,0.08659793814433142,0.7048228522357733,after,full,2,0.4
180,45,0.6155114679406375,50,0.08598228243877135,0.1549075234823091,after,full,2,0.6000000000000001
184,46,0.5898560744647673,150,0.07771487390632997,0.1503333646054987,after,full,2,0.6000000000000001
188,47,0.5870283410815664,250,0.08264887063655134,0.07293277693932633,after,full,2,0.6000000000000001
192,48,0.7872844351014381,0,0.08919469928644291,0.12164242174375155,after,full,2,0.8
196,49,0.8909595112235928,100,0.08042328042328094,0.2603720522576781,after,full,2,0.8
